GPS time,SatPRN (ID),Sat.X,Sat.Y,Sat.Z,Pseudo-Range,CN0
2024 04 13 16 51 36.4173427,G03,24058718.06527,2650.56927,42.00027,24056382.38225,1977.42525
2024 04 13 16 51 36.4173427,G08,21133536.02728,-871.28328,47.80028,21131185.35425,-651.48225
2024 04 13 16 51 36.4173427,G27,22142478.85027,-2805.21127,45.20027,22140122.78125,-2090.75025
2024 04 13 16 51 36.4173427,G32,21444978.71927,-1243.73027,45.60027,21442620.85224,-932.15024
2024 04 13 16 51 36.4173427,C43,22353684.73526,1758.53726,39.70026,22351800.24025,1322.60025
2024 04 13 16 51 36.4173427,C42,21861369.45828,420.23828,47.60028,21859489.16024,321.75024
2024 04 13 16 51 36.4173427,C39,38998137.12124,803.75024,29.10024,38996245.13124,601.46524
2024 04 13 16 51 36.4173427,C34,21738161.65326,-1051.64726,40.40026,21736281.05525,-786.70025
2024 04 13 16 51 36.4173427,C33,25067488.80825,2675.80025,33.60025,25065614.50525,2012.09425
2024 04 13 16 51 36.4173427,C21,23410359.61527,-2012.10827,44.20027,23408472.12125,-1517.70025
2024 04 13 16 51 36.4173427,E10,25676615.51826,2222.12126,39.50026,25674705.54125,1663.95025
2024 04 13 16 51 36.4173427,E12,24351149.71925,1537.55025,32.80025,24349239.44225,1134.35025
2024 04 13 16 51 36.4173427,E24,28316932.66525,-1701.85025,35.30025,28315030.78124,-1269.40024
2024 04 13 16 51 36.4173427,E33,24341963.17926,-631.05026,35.80026,24340055.30025,-471.24425
2024 04 13 16 51 37.4173429,G03,24058272.26827,2650.50727,43.40027,24055936.58526,1980.35226
2024 04 13 16 51 37.4173429,G08,21133762.06428,-872.26628,49.80028,21131410.19226,-650.48926
2024 04 13 16 51 37.4173429,G27,22143068.53628,-2806.05228,47.70028,22140715.76426,-2094.49926
2024 04 13 16 51 37.4173429,G32,21445272.81027,-1244.65727,46.80027,21442913.14325,-928.31625
2024 04 13 16 51 37.4173429,C43,22353407.72127,1757.64227,42.00027,22351521.12725,1325.68125
2024 04 13 16 51 37.4173429,C42,21861349.66628,419.41328,49.60028,21859469.66725,317.29225
2024 04 13 16 51 37.4173429,C39,38998044.47925,802.60025,31.50025,38996147.69225,605.60025
2024 04 13 16 51 37.4173429,C34,21738424.26527,-1052.53327,43.00027,21736540.06925,-793.15025
2024 04 13 16 51 37.4173429,C33,25067029.52025,2674.15025,35.40025,25065158.51525,2016.40025
2024 04 13 16 51 37.4173429,C21,23410805.69927,-2012.12527,46.40027,23408917.60726,-1515.40426
2024 04 13 16 51 37.4173429,E10,25676251.56427,2224.35027,43.30027,25674342.18625,1661.33425
2024 04 13 16 51 37.4173429,E12,24350917.67326,1530.80926,37.20026,24349007.99625,1143.15025
2024 04 13 16 51 37.4173429,E24,28317316.09326,-1708.40026,39.00026,28315412.71125,-1275.70025
2024 04 13 16 51 37.4173429,E33,24342143.64826,-638.25626,39.20026,24340236.36825,-476.74125
2024 04 13 16 51 38.4173430,G03,24057797.04527,2654.12927,42.40027,24055463.76025,1987.70025
2024 04 13 16 51 38.4173430,G08,21133954.77928,-868.80628,48.00028,21131607.10425,-648.95525
2024 04 13 16 51 38.4173430,G27,22143632.39327,-2802.23327,45.50027,22141280.22225,-2093.40025
2024 04 13 16 51 38.4173430,G28,23879929.58026,2687.60026,36.20026,23877605.58923,2005.50023
2024 04 13 16 51 38.4173430,G32,21445541.97127,-1241.13027,45.50027,21443176.00924,-922.70024
2024 04 13 16 51 38.4173430,C43,22353097.08426,1761.26226,40.00026,22351212.88825,1335.80025
2024 04 13 16 51 38.4173430,C42,21861299.24928,423.02128,48.50028,21859418.35124,324.00024
2024 04 13 16 51 38.4173430,C34,21738650.25727,-1049.04627,41.50027,21736771.75725,-798.57725
2024 04 13 16 51 38.4173430,C33,25066544.10425,2679.70025,34.00025,25064674.89825,2009.30325
2024 04 13 16 51 38.4173430,C21,23411221.46027,-2008.70327,44.50027,23409333.66725,-1514.26525
2024 04 13 16 51 38.4173430,E10,25675860.58326,2216.30026,38.90026,25673951.50425,1657.00025
2024 04 13 16 51 38.4173430,E12,24350657.40225,1521.65025,34.00025,24348746.82424,1138.20024
2024 04 13 16 51 38.4173430,E24,28317674.59325,-1696.40025,35.20025,28315769.11224,-1270.85024
2024 04 13 16 51 38.4173430,E33,24342292.29325,-647.05025,34.60025,24340389.51025,-480.50025
2024 04 13 16 51 39.4173432,G03,24057352.33827,2633.39727,44.00027,24055018.75326,1965.73626
2024 04 13 16 51 39.4173432,G08,21134183.10628,-890.29128,49.50028,21131834.23226,-664.58926
2024 04 13 16 51 39.4173432,G27,22144226.16727,-2823.49127,47.00027,22141873.69626,-2108.13426
2024 04 13 16 51 39.4173432,G28,23879486.97126,2664.80626,39.10026,23877159.08324,1991.55024
2024 04 13 16 51 39.4173432,G32,21445840.75028,-1262.54128,48.20028,21443479.88424,-944.05024
2024 04 13 16 51 39.4173432,C43,22352822.65926,1740.07526,40.70026,22350938.16425,1312.05025
2024 04 13 16 51 39.4173432,C42,21861279.64728,401.99928,50.70028,21859399.34925,302.39225
2024 04 13 16 51 39.4173432,C34,21738917.25727,-1070.17127,43.50027,21737034.56025,-806.35025
2024 04 13 16 51 39.4173432,C33,25066084.70725,2656.50025,34.70025,25064224.19525,2003.42525
2024 04 13 16 51 39.4173432,C21,23411669.83427,-2029.14527,46.20027,23409781.14226,-1528.23426
2024 04 13 16 51 39.4173432,E10,25675496.52027,2206.86227,43.40027,25673585.64325,1647.13025
2024 04 13 16 51 39.4173432,E12,24350427.64626,1512.86726,37.80026,24348517.36825,1128.60025
2024 04 13 16 51 39.4173432,E24,28318059.11226,-1726.05226,39.10026,28316157.82825,-1288.70025
2024 04 13 16 51 39.4173432,E33,24342476.25126,-656.34526,37.60026,24340571.96925,-490.80025
2024 04 13 16 51 40.4173433,G03,24056883.81827,2636.64827,44.20027,24054546.93526,1968.72026
2024 04 13 16 51 40.4173433,G08,21134383.72228,-887.11728,49.40028,21132031.55126,-662.66726
2024 04 13 16 51 40.4173433,G10,22790049.32926,-1882.54326,41.10026,22787700.75523,-1404.40023
2024 04 13 16 51 40.4173433,G27,22144794.03027,-2819.97227,46.80027,22142440.95926,-2106.08226
2024 04 13 16 51 40.4173433,G32,21446108.22028,-1259.26228,47.50028,21443749.15324,-940.40024
2024 04 13 16 51 40.4173433,C43,22352519.02526,1743.55326,40.90026,22350633.03026,1313.61526
2024 04 13 16 51 40.4173433,C42,21861233.23528,405.34128,50.50028,21859352.03725,305.49025
2024 04 13 16 51 40.4173433,C34,21739152.35027,-1066.82027,43.90027,21737270.25325,-804.47925
2024 04 13 16 51 40.4173433,C33,25065610.79025,2660.88125,34.80025,25063742.18425,2005.27725
2024 04 13 16 51 40.4173433,C21,23412089.30027,-2025.90527,46.10027,23410200.60726,-1527.00826
2024 04 13 16 51 40.4173433,E10,25675105.94627,2209.49227,44.70027,25673197.16725,1650.09325
2024 04 13 16 51 40.4173433,E12,24350170.18026,1515.45226,37.10026,24348259.30325,1131.49925
2024 04 13 16 51 40.4173433,E24,28318414.72126,-1723.72726,40.80026,28316515.53625,-1287.38325
2024 04 13 16 51 40.4173433,E33,24342630.69926,-653.72726,39.30026,24340727.31725,-488.48025
2024 04 13 16 51 41.4173434,G03,24056412.04827,2633.74227,44.10027,24054075.46626,1966.68726
2024 04 13 16 51 41.4173434,G08,21134581.98928,-890.53928,49.40028,21132231.61626,-665.12026
2024 04 13 16 51 41.4173434,G10,22790428.97026,-1886.12926,35.70026,22788083.39424,-1407.15024
2024 04 13 16 51 41.4173434,G27,22145361.94127,-2823.24227,46.50027,22143007.37126,-2108.34126
2024 04 13 16 51 41.4173434,G28,23878525.39726,2665.67526,37.60026,23876199.30724,1992.60024
2024 04 13 16 51 41.4173434,G32,21446381.13527,-1262.77827,46.90027,21444020.86924,-943.24524
2024 04 13 16 51 41.4173434,C43,22352218.13726,1740.16726,41.40026,22350328.54526,1311.63826
2024 04 13 16 51 41.4173434,C42,21861184.47328,402.03528,49.40028,21859303.87525,303.10025
2024 04 13 16 51 41.4173434,C39,38997577.69525,785.20025,32.70025,38995692.89925,591.16925
2024 04 13 16 51 41.4173434,C34,21739389.59027,-1070.31127,41.60027,21737505.39425,-806.53325
2024 04 13 16 51 41.4173434,C33,25065123.43225,2658.85025,33.40025,25063260.82125,2002.60325
2024 04 13 16 51 41.4173434,C21,23412508.81327,-2028.92027,44.00027,23410619.52125,-1528.66925
2024 04 13 16 51 41.4173434,E10,25674715.12027,2206.99327,42.90027,25672807.54126,1654.42426
2024 04 13 16 51 41.4173434,E12,24349910.06425,1512.78525,35.10025,24347999.48725,1129.08825
2024 04 13 16 51 41.4173434,E24,28318772.77726,-1726.37926,40.60026,28316874.79125,-1289.71225
2024 04 13 16 51 41.4173434,E33,24342781.29926,-656.63726,35.70026,24340881.51425,-490.67625
2024 04 13 16 51 42.4173435,G03,24055937.38127,2637.77027,43.80027,24053603.79725,1969.59925
2024 04 13 16 51 42.4173435,G08,21134781.25528,-886.82528,49.40028,21132431.18226,-662.43026
2024 04 13 16 51 42.4173435,G27,22145931.75127,-2819.19827,45.70027,22143574.18325,-2105.50325
2024 04 13 16 51 42.4173435,G32,21446652.35228,-1258.86028,48.10028,21444291.18624,-939.80024
